x Q2 F2 STAT+SYST
8.0000e-04 3.5000e+01 1.4600e+00 2.9547e-03
8.0000e-04 3.5000e+01 1.4470e+00 1.9530e-03
1.3000e-03 3.5000e+01 1.2480e+00 4.9360e-04
2.0000e-03 3.5000e+01 1.1130e+00 5.5400e-04
3.2000e-03 3.5000e+01 9.7800e-01 7.8080e-04
5.0000e-03 3.5000e+01 8.5800e-01 1.9711e-03
8.0000e-03 3.5000e+01 7.5100e-01 2.0277e-03
1.3000e-02 3.5000e+01 6.6600e-01 1.8648e-03
2.0000e-02 3.5000e+01 5.9500e-01 1.1900e-03
3.2000e-02 3.5000e+01 5.1900e-01 2.1279e-03
8.0000e-02 3.5000e+01 4.5000e-01 3.1500e-04
8.0000e-04 4.5000e+01 1.5710e+00 2.4956e-03
1.3000e-03 4.5000e+01 1.3440e+00 -1.3170e-03
1.3000e-03 4.5000e+01 1.3430e+00 1.8424e-03
2.0000e-03 4.5000e+01 1.1720e+00 9.3040e-04
3.2000e-03 4.5000e+01 1.0190e+00 1.0170e-03
5.0000e-03 4.5000e+01 9.0400e-01 1.6254e-03
8.0000e-03 4.5000e+01 7.8600e-01 5.4950e-04
1.3000e-02 4.5000e+01 6.8300e-01 1.9124e-03
2.0000e-02 4.5000e+01 6.0400e-01 1.5100e-03
3.2000e-02 4.5000e+01 5.3600e-01 1.3400e-03
5.0000e-02 4.5000e+01 4.8800e-01 1.0736e-03
1.3000e-03 6.0000e+01 1.4650e+00 2.9547e-03
1.3000e-03 6.0000e+01 1.4510e+00 2.2304e-03
2.0000e-03 6.0000e+01 1.2730e+00 1.2550e-04
3.2000e-03 6.0000e+01 1.0930e+00 4.3520e-04
5.0000e-03 6.0000e+01 9.4800e-01 8.5230e-04
8.0000e-03 6.0000e+01 8.2400e-01 2.1424e-03
1.3000e-02 6.0000e+01 7.1100e-01 2.2041e-03
2.0000e-02 6.0000e+01 6.3500e-01 1.5875e-03
3.2000e-02 6.0000e+01 5.5500e-01 1.4430e-03
5.0000e-02 6.0000e+01 5.1100e-01 1.7885e-03
1.3000e-01 6.0000e+01 3.9600e-01 7.9200e-04
1.3000e-03 7.0000e+01 1.5410e+00 6.6838e-03
2.0000e-03 7.0000e+01 1.3000e+00 -7.6440e-04
3.2000e-03 7.0000e+01 1.1100e+00 -1.2133e-03
5.0000e-03 7.0000e+01 1.0010e+00 1.4985e-03
8.0000e-03 7.0000e+01 8.2500e-01 1.8952e-03
1.3000e-02 7.0000e+01 7.2000e-01 4.8240e-03
2.0000e-02 7.0000e+01 6.4000e-01 3.4560e-03
3.2000e-02 7.0000e+01 5.6400e-01 -1.2972e-03
5.0000e-02 7.0000e+01 5.1300e-01 1.4877e-03
2.0000e-03 9.0000e+01 1.3080e+00 8.8270e-04
2.0000e-03 9.0000e+01 1.3710e+00 -6.6050e-04
3.2000e-03 9.0000e+01 1.1890e+00 1.0584e-03
5.0000e-03 9.0000e+01 1.0390e+00 8.2800e-04
8.0000e-03 9.0000e+01 8.9200e-01 8.9100e-05
1.3000e-02 9.0000e+01 7.5900e-01 1.7457e-03
2.0000e-02 9.0000e+01 6.5400e-01 2.7468e-03
3.2000e-02 9.0000e+01 5.6100e-01 1.4025e-03
5.0000e-02 9.0000e+01 4.9000e-01 2.9460e-04
8.0000e-02 9.0000e+01 4.3800e-01 1.6243e-03
1.8000e-01 9.0000e+01 3.4400e-01 4.4032e-03
2.0000e-03 1.2000e+02 1.4120e+00 -1.9695e-03
3.2000e-03 1.2000e+02 1.2130e+00 -3.5580e-04
3.2000e-03 1.2000e+02 1.2390e+00 -9.6960e-04
5.0000e-03 1.2000e+02 1.0530e+00 0.0000e+00
8.0000e-03 1.2000e+02 9.1200e-01 1.0010e-03
1.3000e-02 1.2000e+02 7.8000e-01 1.1700e-03
2.0000e-02 1.2000e+02 6.7100e-01 3.4221e-03
3.2000e-02 1.2000e+02 5.7700e-01 1.9618e-03
5.0000e-02 1.2000e+02 4.8800e-01 1.9560e-04
8.0000e-02 1.2000e+02 4.4200e-01 1.1075e-03
1.8000e-01 1.2000e+02 3.3300e-01 -8.6580e-04
3.2000e-03 1.5000e+02 1.2500e+00 3.8528e-03
3.2000e-03 1.5000e+02 1.2470e+00 -2.4020e-03
5.0000e-03 1.5000e+02 1.0710e+00 5.2900e-04
8.0000e-03 1.5000e+02 9.1900e-01 3.0195e-03
1.3000e-02 1.5000e+02 8.0700e-01 2.4210e-03
2.0000e-02 1.5000e+02 6.9300e-01 3.7422e-03
3.2000e-02 1.5000e+02 5.8800e-01 3.1164e-03
5.0000e-02 1.5000e+02 5.1200e-01 5.1200e-04
8.0000e-02 1.5000e+02 4.4600e-01 1.5610e-03
1.8000e-01 1.5000e+02 3.2500e-01 -9.7500e-04
5.0000e-03 2.0000e+02 1.1000e+00 -4.2960e-04
5.0000e-03 2.0000e+02 1.1290e+00 0.0000e+00
8.0000e-03 2.0000e+02 9.4000e-01 5.6040e-04
1.3000e-02 2.0000e+02 8.0700e-01 1.7732e-03
2.0000e-02 2.0000e+02 6.9800e-01 1.7450e-03
